MatchID,InningsNo,DeliveryID,bowler,striker,non_striker,ExtraNB,Overstep,Beamer,Fielder,Bouncer,MultiBounce,KnockStumps,OutsidePitch,WrongCall
2018-04-07-mumbai-indians-chennai-super-kings,2nd innings,7.3,JJ Bumrah,KM Jadhav,MS Dhoni,1,1,,,,,,,
2018-04-08-delhi-daredevils-kings-xi-punjab,1st innings,18.6,AJ Tye,DT Christian,CH Morris,1,0,1,,,,,,
2018-04-08-delhi-daredevils-kings-xi-punjab,2nd innings,18.1,TA Boult,MP Stoinis,DA Miller,1,0,,1,,,,,
2018-04-09-rajasthan-royals-sunrisers-hyderabad,2nd innings,5.1,B Laughlin,S Dhawan,KS Williamson,1,1,,,,,,,1
2018-04-10-kolkata-knight-riders-chennai-super-kings,2nd innings,19.1,R Vinay Kumar,DJ Bravo,RA Jadeja,1,0,1,,,,,,
2018-04-12-mumbai-indians-sunrisers-hyderabad,1st innings,19.1,S Kaul,JJ Bumrah,M Markande,1,1,,,,,,,
2018-04-14-kolkata-knight-riders-sunrisers-hyderabad,1st innings,18.1,B Kumar,KD Karthik,Shivam Mavi,1,1,,,,,,,
2018-04-14-kolkata-knight-riders-sunrisers-hyderabad,1st innings,18.6,B Kumar,MG Johnson,Shivam Mavi,1,1,,,,,,,
2018-04-15-rajasthan-royals-royal-challengers-bangalore,1st innings,15.2,UT Yadav,SV Samson,JC Buttler,1,0,1,,,,,,
2018-04-15-rajasthan-royals-royal-challengers-bangalore,1st innings,19.4,UT Yadav,RA Tripathi,SV Samson,1,1,,,,,,,
2018-04-17-mumbai-indians-royal-challengers-bangalore,2nd innings,18.2,Mustafizur Rahman,V Kohli,Mohammed Siraj,1,1,,,,,,,
2018-04-18-rajasthan-royals-kolkata-knight-riders,1st innings,18.4,TK Curran,JC Buttler,DS Kulkarni,1,1,,,,,,,
2018-04-19-kings-xi-punjab-sunrisers-hyderabad,2nd innings,17.2,BB Sran,Shakib Al Hasan,MK Pandey,1,0,1,,,,,,
2018-04-20-chennai-super-kings-rajasthan-royals,1st innings,0.1,STR Binny,SR Watson,AT Rayudu,1,1,,,,,,,
2018-04-21-kolkata-knight-riders-kings-xi-punjab,1st innings,5.1,AJ Tye,RV Uthappa,CA Lynn,1,1,,,,,,,1
2018-04-22-mumbai-indians-rajasthan-royals,1st innings,19.4,BA Stokes,KA Pollard,M Markande,1,0,1,,,,,,
2018-04-22-mumbai-indians-rajasthan-royals,2nd innings,17.3,Mustafizur Rahman,JC Archer,K Gowtham,1,0,1,,,,,,
2018-04-22-mumbai-indians-rajasthan-royals,2nd innings,18.3,JJ Bumrah,JC Archer,K Gowtham,1,1,,,,,,,
2018-04-25-royal-challengers-bangalore-chennai-super-kings,2nd innings,10.6,YS Chahal,AT Rayudu,MS Dhoni,1,1,,,,,,,1
2018-04-26-sunrisers-hyderabad-kings-xi-punjab,1st innings,5.2,BB Sran,Shakib Al Hasan,MK Pandey,1,1,,,,,,,
2018-04-27-delhi-daredevils-kolkata-knight-riders,1st innings,16.6,Shivam Mavi,SS Iyer,GJ Maxwell,1,0,1,,,,,,
2018-04-30-chennai-super-kings-delhi-daredevils,1st innings,10.2,V Shankar,F du Plessis,SR Watson,1,0,1,,,,,,
2018-05-01-royal-challengers-bangalore-mumbai-indians,1st innings,9.2,HH Pandya,BB McCullum,V Kohli,1,0,1,,,,,,
2018-05-01-royal-challengers-bangalore-mumbai-indians,1st innings,19.6,MJ McClenaghan,C de Grandhomme,UT Yadav,1,0,1,,,,,,
2018-05-05-delhi-daredevils-sunrisers-hyderabad,2nd innings,5.1,Avesh Khan,AD Hales,S Dhawan,1,1,,,,,,,
2018-05-05-royal-challengers-bangalore-chennai-super-kings,2nd innings,17.4,YS Chahal,MS Dhoni,DJ Bravo,1,1,,,,,,,
2018-05-07-sunrisers-hyderabad-royal-challengers-bangalore,1st innings,10.6,YS Chahal,KS Williamson,Shakib Al Hasan,1,1,,,,,,,
2018-05-08-rajasthan-royals-kings-xi-punjab,1st innings,18.4,MM Sharma,BA Stokes,MK Lomror,1,0,1,,,,,,
2018-05-08-rajasthan-royals-kings-xi-punjab,2nd innings,19.3,JD Unadkat,KL Rahul,AJ Tye,1,0,1,,,,,,
2018-05-09-mumbai-indians-kolkata-knight-riders,1st innings,15.5,TK Curran,RG Sharma,HH Pandya,1,1,,,,,,,1
2018-05-11-chennai-super-kings-rajasthan-royals,1st innings,2.3,JC Archer,SK Raina,SR Watson,1,1,,,,,,,
2018-05-12-delhi-daredevils-royal-challengers-bangalore,1st innings,18.2,TG Southee,V Shankar,Abhishek Sharma,1,0,0,1,,,,,
2018-05-14-kings-xi-punjab-royal-challengers-bangalore,2nd innings,8.1,AS Rajpoot,V Kohli,PA Patel,1,0,1,,,,,,
2018-05-16-mumbai-indians-kings-xi-punjab,1st innings,19.5,MM Sharma,MJ McClenaghan,M Markande,1,0,1,,,,,,
2018-05-19-sunrisers-hyderabad-kolkata-knight-riders,1st innings,2.5,AD Russell,SP Goswami,S Dhawan,1,0,0,0,1,,,,
2018-05-20-kings-xi-punjab-chennai-super-kings,1st innings,6.7,DL Chahar,DA Miller,MK Tiwary,1,0,0,0,1,,,,
2018-05-20-kings-xi-punjab-chennai-super-kings,2nd innings,6.3,AS Rajpoot,Harbhajan Singh,SK Raina,1,0,0,0,1,,,,
2018-05-23-kolkata-knight-riders-rajasthan-royals,1st innings,14.5,JC Archer,AD Russell,KD Karthik,1,0,1,,,,,,
2018-05-27-sunrisers-hyderabad-chennai-super-kings,1st innings,0.1,DL Chahar,SP Goswami,S Dhawan,1,0,1,,,,,,
2019-03-23-royal-challengers-bangalore-chennai-super-kings,1st innings,2.6,DL Chahar,V Kohli,PA Patel,1,0,1,,,,,,
2019-03-23-royal-challengers-bangalore-chennai-super-kings,2nd innings,6.3,NA Saini,SK Raina,AT Rayudu,1,1,,,,,,,
2019-03-24-delhi-capitals-mumbai-indians,1st innings,0.1,Rasikh Salam,PP Shaw,S Dhawan,1,1,,,,,,,
2019-03-24-delhi-capitals-mumbai-indians,1st innings,2.6,Rasikh Salam,S Dhawan,SS Iyer,1,1,,,,,,,
2019-03-24-sunrisers-hyderabad-kolkata-knight-riders,1st innings,0.7,M Prasidh Krishna,JM Bairstow,DA Warner,1,0,1,,,,,,
2019-03-25-kings-xi-punjab-rajasthan-royals,2nd innings,13.4,AS Rajpoot,SPD Smith,SV Samson,1,1,,,,,,,
2019-03-25-kings-xi-punjab-rajasthan-royals,2nd innings,13.5,AS Rajpoot,SPD Smith,SV Samson,1,1,,,,,,,
2019-03-26-delhi-capitals-chennai-super-kings,2nd innings,13.6,KMA Paul,KM Jadhav,MS Dhoni,1,1,,,,,,,
2019-03-27-kolkata-knight-riders-kings-xi-punjab,1st innings,16.6,Mohammed Shami,AD Russell,RV Uthappa,1,0,0,1,,,,,
2019-03-28-mumbai-indians-royal-challengers-bangalore,1st innings,18.4,NA Saini,HH Pandya,M Markande,1,0,1,,,,,,
2019-03-29-rajasthan-royals-sunrisers-hyderabad,1st innings,10.3,S Kaul,SV Samson,AM Rahane,1,1,,,,,,,
2019-03-30-kolkata-knight-riders-delhi-capitals,1st innings,13.3,HV Patel,AD Russell,KD Karthik,1,0,1,,,,,,
2019-03-31-chennai-super-kings-rajasthan-royals,1st innings,17.4,DS Kulkarni,MS Dhoni,DJ Bravo,1,0,1,,,,,,
2019-03-31-chennai-super-kings-rajasthan-royals,2nd innings,5.3,MJ Santner,RA Tripathi,SPD Smith,1,0,1,,,,,,
2019-03-31-sunrisers-hyderabad-royal-challengers-bangalore,2nd innings,18.5,V Shankar,Mohammed Siraj,C de Grandhomme,1,1,,,,,,,
2019-04-02-royal-challengers-bangalore-rajasthan-royals,1st innings,13.5,JC Archer,PA Patel,MP Stoinis,1,1,,,,,,,
2019-04-03-mumbai-indians-chennai-super-kings,1st innings,19.4,DJ Bravo,KA Pollard,HH Pandya,1,0,1,,,,,,
2019-04-03-mumbai-indians-chennai-super-kings,2nd innings,1.1,SL Malinga,SR Watson,SK Raina,1,1,,,,,,,
2019-04-03-mumbai-indians-chennai-super-kings,2nd innings,6.3,JJ Bumrah,KM Jadhav,MS Dhoni,1,1,,,,,,,
2019-04-05-royal-challengers-bangalore-kolkata-knight-riders,2nd innings,1.4,NA Saini,SP Narine,CA Lynn,1,1,,,,,,,
2019-04-05-royal-challengers-bangalore-kolkata-knight-riders,2nd innings,8.2,Mohammed Siraj,CA Lynn,RV Uthappa,1,0,1,,,,,,
